-1.000	2.482
-0.980	2.483
-0.960	2.483
-0.940	2.484
-0.920	2.484
-0.900	2.484
-0.880	2.484
-0.860	2.483
-0.840	2.485
-0.820	2.485
-0.800	2.484
-0.780	2.484
-0.760	2.485
-0.740	2.485
-0.720	2.743
-0.700	2.743
-0.680	2.743
-0.660	2.741
-0.640	2.741
-0.620	2.743
-0.600	2.744
-0.580	2.743
-0.560	2.741
-0.540	2.743
-0.520	2.741
-0.500	2.619
-0.480	2.619
-0.460	2.621
-0.440	2.621
-0.420	2.618
-0.400	2.621
-0.380	2.621
-0.360	2.619
-0.340	2.621
-0.320	2.622
-0.300	2.622
-0.280	2.622
-0.260	2.622
-0.240	2.622
-0.220	2.623
-0.200	2.621
-0.180	2.619
-0.160	2.622
-0.140	2.622
-0.120	2.624
-0.100	2.621
-0.080	2.622
-0.060	2.623
-0.040	2.622
-0.020	2.621
0.000	2.622
0.020	2.624
0.040	2.622
0.060	2.622
0.080	2.622
0.100	2.620
0.120	2.622
0.140	2.622
0.160	2.623
0.180	2.620
0.200	2.622
0.220	2.624
0.240	2.622
0.260	2.703
0.280	2.622
0.300	2.621
0.320	2.621
0.340	2.627
0.360	2.627
0.380	2.627
0.400	2.626
0.420	2.625
0.440	2.625
0.460	2.625
0.480	2.626
0.500	2.746
0.520	2.743
0.540	2.743
0.560	2.744
0.580	2.743
0.600	2.744
0.620	2.745
0.640	2.743
0.660	2.744
0.680	2.744
0.700	2.745
0.720	2.742
0.740	2.743
0.760	2.743
0.780	2.613
0.800	2.618
0.820	2.615
0.840	2.616
0.860	2.618
0.880	2.619
0.900	2.622
0.920	2.616
0.940	2.618
0.960	2.619
0.980	2.621
1.000	2.618
